dc,time,wm_changes,firing_count
1,3969,299,73
2,1825,310,36
3,22,3,0
4,307,63,13
5,84,16,3
6,20,10,1
7,91,18,5
8,7,5,0
9,62,36,9
10,51,12,1
11,99,57,9
12,292,51,1
13,84,72,8
14,143,50,24
15,62,23,5
16,45,23,4
17,40,23,3
18,32,23,2
19,218,54,3
20,191,64,17
21,82,19,4
22,7,5,0
23,66,36,9
24,26,12,1
25,95,61,13
26,28,12,1
27,81,60,10
28,135,24,1
29,85,73,8
30,58,23,8
31,152,58,3
32,153,38,12
33,139,39,6
34,144,25,6
35,13,5,0
36,86,36,9
37,39,12,1
38,119,61,12
39,55,12,1
40,134,60,10
41,275,28,1
42,120,74,8
43,133,34,14
44,60,23,2
45,244,58,3
46,292,54,11
47,163,25,5
48,16,5,0
49,133,36,9
50,54,12,1
51,123,61,13
52,35,12,1
53,109,60,10
54,353,21,1
55,140,76,8
56,125,49,23
57,95,23,5
58,53,23,4
59,53,23,3
60,59,23,2
61,272,58,3
62,315,69,18
63,113,19,4
64,9,5,0
65,62,36,9
66,28,12,1
67,99,61,13
68,28,12,1
69,81,60,10
70,168,22,1
71,91,73,8
72,61,23,8
73,169,58,3
74,193,38,12
75,163,39,6
76,171,25,6
77,9,5,0
78,60,36,9
79,28,12,1
80,96,61,12
81,35,12,1
82,79,60,10
83,72,16,1
84,82,71,8
85,49,20,5
86,175,58,3
87,156,35,12
88,112,23,6
89,225,63,14
90,84,23,7
91,216,57,15
92,53,17,1
93,8,5,0
94,88,52,14
95,35,13,1
96,80,61,6
97,37,13,1
98,68,60,6
99,903,187,1
100,99,80,9
101,193,75,33
102,96,23,15
103,90,23,14
104,83,23,13
105,81,23,12
106,80,23,11
107,75,23,10
108,73,23,9
109,71,23,8
110,68,23,7
111,65,23,6
112,63,23,5
113,62,23,4
114,59,23,3
115,46,23,2
116,380,63,2
117,824,187,61
118,276,47,13
119,102,24,2
120,216,38,5
121,412,25,6
122,9,5,0
123,62,36,9
124,29,12,1
125,98,61,12
126,27,12,1
127,90,60,10
128,25,11,1
129,80,58,7
130,115,41,8
131,204,21,5
132,74,22,7
133,241,71,3
134,309,44,14
135,319,86,15
136,59,14,2
137,84,19,4
138,8,5,0
139,60,36,9
140,26,12,1
141,86,61,12
142,28,12,1
143,137,60,10
144,69,15,1
145,82,71,8
146,47,20,5
147,219,58,3
148,227,41,16
149,100,20,1
150,9,5,0
151,82,45,11
152,38,13,1
153,91,61,6
154,274,32,1
155,116,68,9
156,104,27,9
157,74,23,3
158,71,23,2
159,280,59,2
160,349,52,13
161,377,69,22
162,119,14,3
163,257,40,7
164,41,8,5
165,52,28,7
166,36,13,2
167,42,13,2
168,978,533,5
169,165,3,0
170,53,31,9
171,120,9,1
172,67,34,11
173,88,24,2
174,373,78,4
175,16,3,0
176,48,31,9
177,5,5,0
178,42,30,8
179,36,18,4
180,355,82,5
181,15,3,0
182,42,26,7
183,5,5,0
184,41,32,7
185,7,7,0
186,40,33,7
187,437,122,7
188,42,3,0
189,47,31,9
190,6,5,0
191,43,31,8
192,21,15,1
193,289,73,2
194,18,3,0
195,50,31,9
196,263,51,4
197,17,3,0
198,58,31,9
199,430,82,4
200,143,57,8
201,19,3,0
202,46,31,9
203,5,5,0
204,42,30,8
205,26,20,2
206,318,84,6
207,16,3,0
208,48,31,9
209,7,5,0
210,40,30,8
211,19,14,1
212,248,72,2
213,18,3,0
214,48,31,9
215,8,5,0
216,41,30,8
217,77,19,5
218,315,82,5
219,15,3,0
220,41,26,7
221,277,67,3
222,23,3,0
223,145,52,14
224,53,16,3
225,19,10,1
226,87,18,5
227,8,5,0
228,70,41,11
229,79,15,1
230,77,68,8
231,52,21,6
232,119,51,3
233,76,24,5
234,65,19,4
235,7,5,0
236,58,36,9
237,24,12,1
238,85,61,12
239,26,12,1
240,79,60,10
241,68,15,1
242,83,71,8
243,46,20,5
244,185,58,3
245,101,29,8
246,8,5,0
247,74,45,11
248,26,13,1
249,62,61,6
250,161,32,1
251,82,68,9
252,67,27,9
253,47,23,3
254,35,23,2
255,141,59,2
256,165,52,13
257,161,47,15
258,117,40,7
259,14,6,1
260,45,28,7
261,22,13,2
262,22,13,2
263,300,158,6
264,57,3,0
265,47,31,9
266,107,9,1
267,55,33,10
268,73,23,2
269,358,81,5
270,16,3,0
271,47,31,9
272,7,5,0
273,40,30,8
274,33,18,4
275,366,85,5
276,15,3,0
277,41,26,7
278,5,5,0
279,38,29,7
280,2101,508,19
281,41,3,0
282,47,31,9
283,7,5,0
284,41,31,8
285,20,15,1
286,252,73,2
287,17,3,0
288,46,31,9
289,230,51,4
290,16,3,0
291,46,31,9
292,309,75,5
293,15,3,0
294,39,26,7
295,184,49,3
296,22,3,0
297,132,52,14
298,51,16,3
299,19,10,1
300,80,18,5
301,7,5,0
302,66,41,11
303,63,15,1
304,74,68,8
305,49,21,6
306,116,51,3
307,72,24,5
308,73,19,4
309,7,5,0
310,57,36,9
311,25,12,1
312,92,61,12
313,25,12,1
314,78,60,10
315,62,15,1
316,81,71,8
317,46,20,5
318,141,58,3
319,97,29,8
320,7,5,0
321,67,45,11
322,25,13,1
323,62,61,6
324,152,32,1
325,79,68,9
326,65,27,9
327,46,23,3
328,36,23,2
329,140,59,2
330,156,52,13
331,154,47,15
332,114,40,7
333,14,6,1
334,43,28,7
335,22,13,2
336,22,13,2
337,280,158,6
338,57,3,0
339,46,31,9
340,100,9,1
341,53,34,10
342,27,18,2
343,35,29,6
344,45,38,1
345,324,80,5
346,16,3,0
347,46,31,9
348,5,5,0
349,40,30,8
350,34,18,4
351,344,85,5
352,15,3,0
353,42,26,7
354,5,5,0
355,37,29,7
356,6,7,0
357,41,31,7
358,8,9,0
359,59,40,15
360,145,105,19
361,187,21,37
362,65,43,8
363,2347,141,9
364,91,3,0
365,54,31,9
366,6,5,0
367,52,31,8
368,21,15,1
369,293,73,2
370,17,3,0
371,61,31,9
372,267,50,4
373,16,3,0
374,48,31,9
375,328,75,5
376,15,3,0
377,42,26,7
378,211,49,3
379,24,3,0
380,193,64,14
381,53,16,3
382,18,10,1
383,84,18,5
384,7,5,0
385,61,36,9
386,47,12,1
387,78,57,9
388,286,51,1
389,87,72,8
390,123,50,24
391,57,23,5
392,48,23,4
393,44,23,3
394,36,23,2
395,196,54,3
396,186,64,17
397,119,19,4
398,7,5,0
399,61,36,9
400,28,12,1
401,93,61,13
402,27,12,1
403,121,60,10
404,180,24,1
405,103,73,8
406,61,23,8
407,158,58,3
408,159,38,12
409,178,39,6
410,110,25,6
411,9,5,0
412,60,36,9
413,30,12,1
414,90,61,12
415,38,12,1
416,84,60,10
417,157,28,1
418,89,74,8
419,89,34,14
420,42,23,2
421,191,58,3
422,186,54,11
423,111,25,5
424,8,5,0
425,61,36,9
426,26,12,1
427,92,61,13
428,26,12,1
429,85,60,10
430,326,21,1
431,96,76,8
432,125,49,23
433,57,23,5
434,50,23,4
435,45,23,3
436,40,23,2
437,216,58,3
